const	BattleTowerPokemonData	BTPD100[]={
		MONSNO_MIROKAROSU,
		32,0x42,
		{WAZANO_HAIDOROPONPU,WAZANO_MEROMERO,WAZANO_ZIKOSAISEI,WAZANO_RIHURESSYU,},
		0x31,13,0,
	},
	{
		MONSNO_KAKUREON,
		2,0x43,
		{WAZANO_SUKIRUSUWAPPU,WAZANO_GENSINOTIKARA,WAZANO_MIZUNOHADOU,WAZANO_10MANBORUTO,},
		0x05,4,0,
	},
	{
		MONSNO_SAMAYOORU,
		25,0x43,
		{WAZANO_AYASIIHIKARI,WAZANO_NOROI,WAZANO_NEMURU,WAZANO_KUROIMANAZASI,},
		0x25,18,0,
	},
	{
		MONSNO_ABUSORU,
		41,0x41,
		{WAZANO_KIRISAKU,WAZANO_TURUGINOMAI,WAZANO_KAGEBUNSIN,WAZANO_YOKODORI,},
		0x25,6,0,
	},
	{
		MONSNO_KYUUKON,
		50,0xc2,
		{WAZANO_KAENHOUSYA,WAZANO_AYASIIHIKARI,WAZANO_KAGEBUNSIN,WAZANO_ONIBI,},
		0x05,10,0,
	},
	{
		MONSNO_PIKATYUU,
		27,0xc2,
		{WAZANO_DENZIHA,WAZANO_KAMINARI,WAZANO_AMAGOI,WAZANO_MEROMERO,},
		0x05,11,0,
	},
	{
		MONSNO_RAHURESIA,
		30,0xc3,
		{WAZANO_GIGADOREIN,WAZANO_NEMURIGONA,WAZANO_TUKINOHIKARI,WAZANO_HEDOROBAKUDAN,},
		0x27,0,0,
	},
	{
		MONSNO_DONFAN,
		7,0x41,
		{WAZANO_ZISIN,WAZANO_SUTEMITAKKURU,WAZANO_AIANTEERU,WAZANO_ZIWARE,},
		0x23,24,0,
	},
	{
		MONSNO_SUTAAMII,
		12,0xc3,
		{WAZANO_AYASIIHIKARI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_KAGEBUNSIN,},
		0x2c,11,0,
	},
	{
		MONSNO_TODOZERUGA,
		29,0x43,
		{WAZANO_REITOUBIIMU,WAZANO_NOSIKAKARI,WAZANO_ANKOORU,WAZANO_ARARE,},
		0x13,9,0,
	},
	{
		MONSNO_ZIIRANSU,
		25,0x41,
		{WAZANO_AKUBI,WAZANO_DOROASOBI,WAZANO_SUTEMITAKKURU,WAZANO_SUNAARASI,},
		0x23,1,0,
	},
	{
		MONSNO_KINGUDORA,
		32,0x43,
		{WAZANO_AMAGOI,WAZANO_REITOUBIIMU,WAZANO_HAIDOROPONPU,WAZANO_KOUSOKUIDOU,},
		0x11,0,0,
	},
	{
		MONSNO_YUREIDORU,
		25,0x43,
		{WAZANO_AYASIIHIKARI,WAZANO_NEWOHARU,WAZANO_GENSINOTIKARA,WAZANO_GIGADOREIN,},
		0x05,16,0,
	},
	{
		MONSNO_AAMARUDO,
		2,0x43,
		{WAZANO_KIRISAKU,WAZANO_IWANADARE,WAZANO_ZISIN,WAZANO_MIZUNOHADOU,},
		0x23,14,0,
	},
	{
		MONSNO_METAGUROSU,
		36,0x41,
		{WAZANO_METARUKUROO,WAZANO_SAIKOKINESISU,WAZANO_HIKARINOKABE,WAZANO_KOUSOKUIDOU,},
		0x33,21,0,
	},
	{
		MONSNO_BOOMANDA,
		41,0x42,
		{WAZANO_RYUUNOIBUKI,WAZANO_KAMIKUDAKU,WAZANO_KAENHOUSYA,WAZANO_TUBAMEGAESI,},
		0x2c,11,0,
	},
	{
		MONSNO_GURAENA,
		52,0x01,
		{WAZANO_KAMIKUDAKU,WAZANO_AKUBI,WAZANO_KARAGENKI,WAZANO_TOOBOE,},
		0x0b,21,0,
	},
	{
		MONSNO_MASSUGUMA,
		48,0x02,
		{WAZANO_HAKAIKOUSEN,WAZANO_KARAGENKI,WAZANO_MEROMERO,WAZANO_TORIKKU,},
		0x0b,0,0,
	},
	{
		MONSNO_RUNPAPPA,
		41,0x03,
		{WAZANO_NAMINORI,WAZANO_KIAIPANTI,WAZANO_NEKODAMASI,WAZANO_KOUGOUSEI,},
		0x0f,10,0,
	},
	{
		MONSNO_BAKUONGU,
		52,0x01,
		{WAZANO_SAWAGU,WAZANO_ZISIN,WAZANO_REITOUBIIMU,WAZANO_KAENHOUSYA,},
		0x12,6,0,
	},
	{
		MONSNO_OOSUBAME,
		49,0x02,
		{WAZANO_KARAGENKI,WAZANO_TYOUONPA,WAZANO_TUBASADEUTU,WAZANO_GAMUSYARA,},
		0x25,14,0,
	},
	{
		MONSNO_PERIPPAA,
		24,0x82,
		{WAZANO_TAKUWAERU,WAZANO_NOMIKOMU,WAZANO_HAKIDASU,WAZANO_MEROMERO,},
		0x21,0,0,
	},
	{
		MONSNO_KINOGASSA,
		6,0x01,
		{WAZANO_BAKURETUPANTI,WAZANO_KAUNTAA,WAZANO_BIRUDOAPPU,WAZANO_KOKORONOME,},
		0x03,0,0,
	},
	{
		MONSNO_NUKENIN,
		41,0x01,
		{WAZANO_ONGAESI,WAZANO_KAGEBUNSIN,WAZANO_DOKUDOKU,WAZANO_SYADOOBOORU,},
		0x0a,0,0,
	},
	{
		MONSNO_BAKUONGU,
		2,0x01,
		{WAZANO_HAKAIKOUSEN,WAZANO_TYOUONPA,WAZANO_KAENHOUSYA,WAZANO_REITOUBIIMU,},
		0x12,21,0,
	},
	{
		MONSNO_HARITEYAMA,
		34,0x01,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAUNTAA,WAZANO_KARAGENKI,WAZANO_NEKODAMASI,},
		0x03,21,0,
	},
	{
		MONSNO_HUUDHIN,
		60,0x83,
		{WAZANO_SAIKOKINESISU,WAZANO_ANKOORU,WAZANO_KANASIBARI,WAZANO_ZIKOSAISEI,},
		0x18,17,0,
	},
	{
		MONSNO_KUROBATTO,
		34,0x81,
		{WAZANO_AYASIIHIKARI,WAZANO_EAKATTAA,WAZANO_ITYAMON,WAZANO_KAGEBUNSIN,},
		0x0a,0,0,
	},
	{
		MONSNO_YAMIRAMI,
		25,0x83,
		{WAZANO_DOKUDOKU,WAZANO_MIKIRI,WAZANO_ZIKOSAISEI,WAZANO_ITYAMON,},
		0x25,7,0,
	},
	{
		MONSNO_KUTIITO,
		4,0x02,
		{WAZANO_KAMIKUDAKU,WAZANO_TURUGINOMAI,WAZANO_TEPPEKI,WAZANO_NEMURU,},
		0x26,21,0,
	},
	{
		MONSNO_BOSUGODORA,
		2,0x01,
		{WAZANO_SUTEMITAKKURU,WAZANO_TEPPEKI,WAZANO_HOERU,WAZANO_ZISIN,},
		0x03,21,0,
	},
	{
		MONSNO_GOROONYA,
		48,0x01,
		{WAZANO_ZISIN,WAZANO_IWANADARE,WAZANO_KAENHOUSYA,WAZANO_KARAGENKI,},
		0x23,21,0,
	},
	{
		MONSNO_NOZUPASU,
		2,0x81,
		{WAZANO_DENZIHA,WAZANO_IWANADARE,WAZANO_ITYAMON,WAZANO_MEROMERO,},
		0x15,14,0,
	},
	{
		MONSNO_RAIBORUTO,
		60,0x02,
		{WAZANO_KAMINARI,WAZANO_KAMIKUDAKU,WAZANO_DENZIHA,WAZANO_DENKOUSEKKA,},
		0x1a,13,0,
	},
	{
		MONSNO_ROZERIA,
		25,0x82,
		{WAZANO_KUSABUE,WAZANO_YADORIGINOTANE,WAZANO_GIGADOREIN,WAZANO_SEITYOU,},
		0x19,17,0,
	},
	{
		MONSNO_ENEKORORO,
		51,0x02,
		{WAZANO_NEKONOTE,WAZANO_UTAU,WAZANO_MEROMERO,WAZANO_MIGAWARI,},
		0x25,6,0,
	},
	{
		MONSNO_TOROPIUSU,
		34,0xc2,
		{WAZANO_HAPPAKATTAA,WAZANO_ZISIN,WAZANO_MEROMERO,WAZANO_KOUGOUSEI,},
		0x12,13,0,
	},
	{
		MONSNO_MARUNOOMU,
		52,0x03,
		{WAZANO_AKUBI,WAZANO_HEDOROBAKUDAN,WAZANO_MEROMERO,WAZANO_REITOUBIIMU,},
		0x13,21,0,
	},
	{
		MONSNO_KAIRIKII,
		14,0x01,
		{WAZANO_KUROSUTYOPPU,WAZANO_BIRUDOAPPU,WAZANO_KETAGURI,WAZANO_KAWARAWARI,},
		0x25,18,0,
	},
	{
		MONSNO_BAKUUDA,
		2,0x40,
		{WAZANO_HUNKA,WAZANO_ZISIN,WAZANO_IWANADARE,WAZANO_OOBAAHIITO,},
		0x21,14,0,
	},
	{
		MONSNO_MAGUKARUGO,
		32,0x03,
		{WAZANO_KAENHOUSYA,WAZANO_IWANADARE,WAZANO_ZISIN,WAZANO_RIHUREKUTAA,},
		0x25,0,0,
	},
	{
		MONSNO_MATADOGASU,
		48,0x81,
		{WAZANO_ONIBI,WAZANO_HAKAIKOUSEN,WAZANO_10MANBORUTO,WAZANO_MITIDURE,},
		0x1b,9,0,
	},
	{
		MONSNO_PATTIIRU,
		16,0x82,
		{WAZANO_TORIKKU,WAZANO_HURAHURADANSU,WAZANO_KIAIPANTI,WAZANO_KARAGENKI,},
		0x2c,10,0,
	},
	{
		MONSNO_EAAMUDO,
		48,0x01,
		{WAZANO_DORIRUKUTIBASI,WAZANO_HAGANENOTUBASA,WAZANO_ITYAMON,WAZANO_MAMORU,},
		0x0b,0,0,
	},
	{
		MONSNO_TIRUTARISU,
		24,0x02,
		{WAZANO_UTAU,WAZANO_DORAGONKUROO,WAZANO_REITOUBIIMU,WAZANO_ZISIN,},
		0x0b,0,0,
	},
	{
		MONSNO_BUUPIGGU,
		41,0x82,
		{WAZANO_SAIKOKINESISU,WAZANO_AYASIIHIKARI,WAZANO_MEISOU,WAZANO_NEMURU,},
		0x19,17,0,
	},
	{
		MONSNO_DAATENGU,
		24,0x20,
		{WAZANO_IBARU,WAZANO_YATUATARI,WAZANO_MEROMERO,WAZANO_DAIBAKUHATU,},
		0x0b,0,0,
	},
	{
		MONSNO_NENDOORU,
		52,0x20,
		{WAZANO_KOSUMOPAWAA,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_DAIBAKUHATU,},
		0x12,7,0,
	},
	{
		MONSNO_HARITEYAMA,
		4,0x33,
		{WAZANO_ZISIN,WAZANO_KAUNTAA,WAZANO_HARADAIKO,WAZANO_NEMURU,},
		0x0a,22,0,
	},
	{
		MONSNO_NOZUPASU,
		52,0x20,
		{WAZANO_IWANADARE,WAZANO_DENZIHA,WAZANO_ZISIN,WAZANO_DAIBAKUHATU,},
		0x21,9,0,
	},
	{
		MONSNO_SAMAYOORU,
		48,0x33,
		{WAZANO_SYADOOPANTI,WAZANO_ONIBI,WAZANO_AYASIIHIKARI,WAZANO_MITIDURE,},
		0x09,22,0,
	},
	{
		MONSNO_AZUMAOU,
		33,0x20,
		{WAZANO_TUNODORIRU,WAZANO_KOUSOKUIDOU,WAZANO_NEGOTO,WAZANO_NEMURU,},
		0x25,2,0,
	},
	{
		MONSNO_BAKUUDA,
		32,0x73,
		{WAZANO_ZISIN,WAZANO_HUNKA,WAZANO_IWANADARE,WAZANO_ZIWARE,},
		0x25,14,0,
	},
	{
		MONSNO_RANTAAN,
		41,0x13,
		{WAZANO_10MANBORUTO,WAZANO_NAMINORI,WAZANO_DENZIHA,WAZANO_AYASIIHIKARI,},
		0x15,17,0,
	},
	{
		MONSNO_MATADOGASU,
		48,0x33,
		{WAZANO_HEDOROBAKUDAN,WAZANO_10MANBORUTO,WAZANO_DAIMONZI,WAZANO_DAIBAKUHATU,},
		0x23,0,0,
	},
	{
		MONSNO_NAMAZUN,
		33,0x20,
		{WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_SUPAAKU,WAZANO_ZIWARE,},
		0x2a,7,0,
	},
	{
		MONSNO_BOSUGODORA,
		52,0x51,
		{WAZANO_SUTEMITAKKURU,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_DORAGONKUROO,},
		0x03,21,0,
	},
	{
		MONSNO_KAKUREON,
		16,0x12,
		{WAZANO_TORIKKU,WAZANO_KIAIPANTI,WAZANO_MEROMERO,WAZANO_YOKODORI,},
		0x05,16,0,
	},
	{
		MONSNO_SAMEHADAA,
		1,0x11,
		{WAZANO_KAMIKUDAKU,WAZANO_SUTEMITAKKURU,WAZANO_NAMINORI,WAZANO_IBARU,},
		0x0a,0,0,
	},
	{
		MONSNO_ABUSORU,
		48,0x12,
		{WAZANO_SUTEMITAKKURU,WAZANO_KARAGENKI,WAZANO_TURUGINOMAI,WAZANO_DENKOUSEKKA,},
		0x0d,0,0,
	},
	{
		MONSNO_HOERUOO,
		33,0x72,
		{WAZANO_HAIDOROPONPU,WAZANO_ZISIN,WAZANO_MEROMERO,WAZANO_ZIWARE,},
		0x09,10,0,
	},
	{
		MONSNO_DOKUKURAGE,
		25,0x20,
		{WAZANO_HAIDOROPONPU,WAZANO_HEDOROBAKUDAN,WAZANO_BARIAA,WAZANO_MIRAAKOOTO,},
		0x06,13,0,
	},
	{
		MONSNO_YAMIRAMI,
		25,0x32,
		{WAZANO_SYADOOBOORU,WAZANO_DOKUDOKU,WAZANO_ZIKOSAISEI,WAZANO_KAGEBUNSIN,},
		0x25,0,0,
	},
	{
		MONSNO_SOONANSU,
		25,0x20,
		{WAZANO_ANKOORU,WAZANO_KAUNTAA,WAZANO_MIRAAKOOTO,WAZANO_MITIDURE,},
		0x25,16,0,
	},
	{
		MONSNO_SAIDON,
		24,0x71,
		{WAZANO_ZISIN,WAZANO_MEGAHOON,WAZANO_KAWARAWARI,WAZANO_TUNODORIRU,},
		0x23,21,0,
	},
	{
		MONSNO_ONIGOORI,
		48,0x31,
		{WAZANO_KAMIKUDAKU,WAZANO_HUBUKI,WAZANO_ARARE,WAZANO_ZETTAIREIDO,},
		0x05,18,0,
	},
	{
		MONSNO_ZYUKAIN,
		34,0x8c,
		{WAZANO_RIIHUBUREEDO,WAZANO_ZISIN,WAZANO_DORAGONKUROO,WAZANO_KAMIKUDAKU,},
		0x34,17,0,
	},
	{
		MONSNO_BASYAAMO,
		48,0x8c,
		{WAZANO_BUREIZUKIKKU,WAZANO_KAUNTAA,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x19,6,0,
	},
	{
		MONSNO_RAGURAAZI,
		47,0x8c,
		{WAZANO_NAMINORI,WAZANO_ZISIN,WAZANO_MIRAAKOOTO,WAZANO_HUBUKI,},
		0x13,23,0,
	},
	{
		MONSNO_SAANAITO,
		48,0x1a,
		{WAZANO_SAIKOKINESISU,WAZANO_10MANBORUTO,WAZANO_MITIDURE,WAZANO_YOKODORI,},
		0x1c,2,0,
	},
	{
		MONSNO_KINOGASSA,
		41,0x15,
		{WAZANO_KINOKONOHOUSI,WAZANO_KIAIPANTI,WAZANO_MAHHAPANTI,WAZANO_MEROMERO,},
		0x0a,0,0,
	},
	{
		MONSNO_HUUDHIN,
		32,0x58,
		{WAZANO_SAIKOKINESISU,WAZANO_HONOONOPANTI,WAZANO_REITOUPANTI,WAZANO_ZIKOSAISEI,},
		0x18,11,0,
	},
	{
		MONSNO_HARITEYAMA,
		34,0x15,
		{WAZANO_KUROSUTYOPPU,WAZANO_ZISIN,WAZANO_KARAGENKI,WAZANO_NEKODAMASI,},
		0x03,21,0,
	},
	{
		MONSNO_GYARADOSU,
		47,0x55,
		{WAZANO_HAKAIKOUSEN,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_REITOUBIIMU,},
		0x22,5,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x58,
		{WAZANO_HEDOROBAKUDAN,WAZANO_AYASIIHIKARI,WAZANO_EAKATTAA,WAZANO_KAGEBUNSIN,},
		0x2a,0,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x5d,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAENHOUSYA,WAZANO_ZISIN,WAZANO_IWANADARE,},
		0x0b,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		41,0x1a,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_HOERU,WAZANO_KAMIKUDAKU,},
		0x18,17,0,
	},
	{
		MONSNO_MARUMAIN,
		41,0x60,
		{WAZANO_10MANBORUTO,WAZANO_MAMORU,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x0e,18,0,
	},
	{
		MONSNO_BETOBETON,
		24,0x64,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAENHOUSYA,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x07,21,0,
	},
	{
		MONSNO_HURAIGON,
		41,0x1c,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAENHOUSYA,WAZANO_KAMIKUDAKU,},
		0x1a,10,0,
	},
	{
		MONSNO_SUTAAMII,
		41,0x5c,
		{WAZANO_NAMINORI,WAZANO_10MANBORUTO,WAZANO_ZIKOSAISEI,WAZANO_AYASIIHIKARI,},
		0x19,17,0,
	},
	{
		MONSNO_KYUUKON,
		41,0x4a,
		{WAZANO_AYASIIHIKARI,WAZANO_DOKUDOKU,WAZANO_HONOONOUZU,WAZANO_NEPPUU,},
		0x18,17,0,
	},
	{
		MONSNO_RAITYUU,
		6,0x5a,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_KISIKAISEI,WAZANO_AIANTEERU,},
		0x1c,10,0,
	},
	{
		MONSNO_GORUDAKKU,
		52,0x55,
		{WAZANO_NAMINORI,WAZANO_KUROSUTYOPPU,WAZANO_REITOUBIIMU,WAZANO_ANAWOHORU,},
		0x12,13,0,
	},
	{
		MONSNO_HERAKUROSU,
		48,0x5d,
		{WAZANO_MEGAHOON,WAZANO_ZISIN,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x0a,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		24,0x26,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZISIN,WAZANO_ZETTAIREIDO,},
		0x37,23,0,
	},
	{
		MONSNO_KINGUDORA,
		4,0x5b,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_RYUUNOIBUKI,WAZANO_NEMURU,},
		0x30,17,0,
	},
	{
		MONSNO_BOOMANDA,
		41,0x0d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAMIKUDAKU,WAZANO_DAIMONZI,},
		0x18,4,0,
	},
	{
		MONSNO_METAGUROSU,
		48,0x3d,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_GANSEKIHUUZI,},
		0x22,0,0,
	},
	{
		MONSNO_REZIROKKU,
		32,0x3c,
		{WAZANO_ZISIN,WAZANO_GENSINOTIKARA,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x23,21,0,
	},
	{
		MONSNO_REZIAISU,
		54,0x3c,
		{WAZANO_REITOUBIIMU,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_DAIBAKUHATU,},
		0x15,23,0,
	},
	{
		MONSNO_REZISUTIRU,
		24,0x3c,
		{WAZANO_METARUKUROO,WAZANO_ZISIN,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x13,21,0,
	},
	{
		MONSNO_RATHIASU,
		41,0x0e,
		{WAZANO_MISUTOBOORU,WAZANO_10MANBORUTO,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x18,17,0,
	},
	{
		MONSNO_RATHIOSU,
		60,0x0d,
		{WAZANO_RASUTAAPAAZI,WAZANO_10MANBORUTO,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x18,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		25,0x1a,
		{WAZANO_NAMINORI,WAZANO_DOKUDOKU,WAZANO_ZIKOSAISEI,WAZANO_MIRAAKOOTO,},
		0x19,2,0,
	},
	{
		MONSNO_KEKKINGU,
		41,0x15,
		{WAZANO_AKUBI,WAZANO_KIAIPANTI,WAZANO_KAUNTAA,WAZANO_NAMAKERU,},
		0x03,6,0,
	},
	{
		MONSNO_ZYUKAIN,
		25,0x8c,
		{WAZANO_GIGADOREIN,WAZANO_KAGEBUNSIN,WAZANO_YADORIGINOTANE,WAZANO_MEROMERO,},
		0x11,17,0,
	},
	{
		MONSNO_BASYAAMO,
		34,0x8c,
		{WAZANO_BUREIZUKIKKU,WAZANO_ZISIN,WAZANO_IWANADARE,WAZANO_DENKOUSEKKA,},
		0x1a,6,0,
	},
	{
		MONSNO_RAGURAAZI,
		25,0x8c,
		{WAZANO_DAKURYUU,WAZANO_MADDOSYOTTO,WAZANO_MIRAAKOOTO,WAZANO_REITOUBIIMU,},
		0x30,23,0,
	},
	{
		MONSNO_SAANAITO,
		48,0x0a,
		{WAZANO_SAIKOKINESISU,WAZANO_10MANBORUTO,WAZANO_SAIMINZYUTU,WAZANO_YUMEKUI,},
		0x0d,7,0,
	},
	{
		MONSNO_KINOGASSA,
		48,0x05,
		{WAZANO_KINOKONOHOUSI,WAZANO_KAUNTAA,WAZANO_SUKAIAPPAA,WAZANO_GIGADOREIN,},
		0x0b,6,0,
	},
	{
		MONSNO_HUUDHIN,
		32,0x58,
		{WAZANO_SAIKOKINESISU,WAZANO_KAMINARIPANTI,WAZANO_HONOONOPANTI,WAZANO_ZIKOSAISEI,},
		0x34,11,0,
	},
	{
		MONSNO_HARITEYAMA,
		6,0x04,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAUNTAA,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x0b,21,0,
	},
	{
		MONSNO_GYARADOSU,
		47,0x44,
		{WAZANO_HAKAIKOUSEN,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_REITOUBIIMU,},
		0x22,5,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x48,
		{WAZANO_DOKUDOKU,WAZANO_AYASIIHIKARI,WAZANO_MEROMERO,WAZANO_SORAWOTOBU,},
		0x28,0,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x5d,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAUNTAA,WAZANO_ZISIN,WAZANO_KARAGENKI,},
		0x03,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		60,0x0a,
		{WAZANO_KAMINARI,WAZANO_DENZIHA,WAZANO_DENKOUSEKKA,WAZANO_KAMIKUDAKU,},
		0x18,17,0,
	},
	{
		MONSNO_MARUMAIN,
		48,0x60,
		{WAZANO_10MANBORUTO,WAZANO_HIKARINOKABE,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x07,18,0,
	},
	{
		MONSNO_BETOBETON,
		24,0x64,
		{WAZANO_HEDOROBAKUDAN,WAZANO_GIGADOREIN,WAZANO_KAENHOUSYA,WAZANO_DAIBAKUHATU,},
		0x03,21,0,
	},
	{
		MONSNO_HURAIGON,
		47,0x1c,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_AIANTEERU,WAZANO_KAMIKUDAKU,},
		0x0a,10,0,
	},
	{
		MONSNO_SUTAAMII,
		50,0x5c,
		{WAZANO_HUBUKI,WAZANO_10MANBORUTO,WAZANO_SAIKOKINESISU,WAZANO_ZIKOSAISEI,},
		0x38,17,0,
	},
	{
		MONSNO_DOODORIO,
		52,0x5a,
		{WAZANO_DORIRUKUTIBASI,WAZANO_TORAIATAKKU,WAZANO_KOUSOKUIDOU,WAZANO_KARAGENKI,},
		0x0a,0,0,
	},
	{
		MONSNO_RAITYUU,
		60,0x4a,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_MEROMERO,WAZANO_KIAIPANTI,},
		0x1c,10,0,
	},
	{
		MONSNO_GORUDAKKU,
		60,0x45,
		{WAZANO_HAIDOROPONPU,WAZANO_KUROSUTYOPPU,WAZANO_HUBUKI,WAZANO_MEROMERO,},
		0x1a,0,0,
	},
	{
		MONSNO_HERAKUROSU,
		52,0x5d,
		{WAZANO_MEGAHOON,WAZANO_ZISIN,WAZANO_KAUNTAA,WAZANO_KISIKAISEI,},
		0x0a,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		25,0x26,
		{WAZANO_NAMINORI,WAZANO_HUBUKI,WAZANO_IWANADARE,WAZANO_ZETTAIREIDO,},
		0x35,23,0,
	},
	{
		MONSNO_KINGUDORA,
		25,0x5c,
		{WAZANO_HAIDOROPONPU,WAZANO_REITOUBIIMU,WAZANO_RYUUNOIBUKI,WAZANO_MEROMERO,},
		0x35,17,0,
	},
	{
		MONSNO_BOOMANDA,
		1,0x1d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAMIKUDAKU,WAZANO_GANSEKIHUUZI,},
		0x0a,7,0,
	},
	{
		MONSNO_METAGUROSU,
		24,0x3d,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_SYADOOBOORU,},
		0x22,0,0,
	},
	{
		MONSNO_REZIROKKU,
		24,0x3c,
		{WAZANO_ZISIN,WAZANO_10MANBORUTO,WAZANO_KIAIPANTI,WAZANO_DAIBAKUHATU,},
		0x23,21,0,
	},
	{
		MONSNO_REZIAISU,
		32,0x3c,
		{WAZANO_REITOUBIIMU,WAZANO_10MANBORUTO,WAZANO_ARARE,WAZANO_DAIBAKUHATU,},
		0x14,23,0,
	},
	{
		MONSNO_REZISUTIRU,
		48,0x3c,
		{WAZANO_METARUKUROO,WAZANO_ZISIN,WAZANO_GENSINOTIKARA,WAZANO_DAIBAKUHATU,},
		0x26,21,0,
	},
	{
		MONSNO_RATHIASU,
		32,0x1e,
		{WAZANO_MISUTOBOORU,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x15,17,0,
	},
	{
		MONSNO_RATHIOSU,
		54,0x1d,
		{WAZANO_RASUTAAPAAZI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x15,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		60,0x1a,
		{WAZANO_HAIDOROPONPU,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_MIRAAKOOTO,},
		0x31,2,0,
	},
	{
		MONSNO_KEKKINGU,
		41,0x15,
		{WAZANO_AKUBI,WAZANO_KIAIPANTI,WAZANO_KAUNTAA,WAZANO_OIUTI,},
		0x03,6,0,
	},
	{
		MONSNO_ZYUKAIN,
		60,0x8c,
		{WAZANO_RIIHUBUREEDO,WAZANO_GANSEKIHUUZI,WAZANO_DORAGONKUROO,WAZANO_KAMIKUDAKU,},
		0x38,0,0,
	},
	{
		MONSNO_BASYAAMO,
		62,0x8c,
		{WAZANO_KIAIPANTI,WAZANO_KAUNTAA,WAZANO_IBARU,WAZANO_GANSEKIHUUZI,},
		0x0a,0,0,
	},
	{
		MONSNO_RAGURAAZI,
		47,0x8c,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_MEROMERO,WAZANO_NEMURU,},
		0x03,23,0,
	},
	{
		MONSNO_SAANAITO,
		54,0x0a,
		{WAZANO_SAIKOKINESISU,WAZANO_10MANBORUTO,WAZANO_MEROMERO,WAZANO_ONIBI,},
		0x18,0,0,
	},
	{
		MONSNO_KINOGASSA,
		41,0x05,
		{WAZANO_KINOKONOHOUSI,WAZANO_KIAIPANTI,WAZANO_MAHHAPANTI,WAZANO_KAUNTAA,},
		0x2a,0,0,
	},
	{
		MONSNO_HUUDHIN,
		16,0x58,
		{WAZANO_SAIKOKINESISU,WAZANO_TORIKKU,WAZANO_ZIKOSAISEI,WAZANO_YOKODORI,},
		0x25,11,0,
	},
	{
		MONSNO_HARITEYAMA,
		6,0x05,
		{WAZANO_RIBENZI,WAZANO_KAUNTAA,WAZANO_KIAIPANTI,WAZANO_KISIKAISEI,},
		0x03,21,0,
	},
	{
		MONSNO_RUNPAPPA,
		25,0x0a,
