const	BattleTowerPokemonData	BTPD50[]={
		{WAZANO_HASAMIGIROTIN,WAZANO_KURABUHANMAA,WAZANO_HUBUKI,WAZANO_HEDOROBAKUDAN,},
		0x3f,6,0,
	},
	{
		MONSNO_BUUPIGGU,
		35,0x8b,
		{WAZANO_MAZIKKUKOOTO,WAZANO_SAIKOKINESISU,WAZANO_RIHUREKUTAA,WAZANO_AYASIIHIKARI,},
		0x11,1,0,
	},
	{
		MONSNO_SAIDON,
		16,0x45,
		{WAZANO_AIANTEERU,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_DAIMONZI,},
		0x30,19,0,
	},
	{
		MONSNO_HUUDHIN,
		60,0x8b,
		{WAZANO_SAIKOKINESISU,WAZANO_RIHUREKUTAA,WAZANO_ZIKOSAISEI,WAZANO_SUKIRUSUWAPPU,},
		0x0c,11,0,
	},
	{
		MONSNO_SAMAYOORU,
		2,0x41,
		{WAZANO_SYADOOBOORU,WAZANO_ONIBI,WAZANO_HUBUKI,WAZANO_SAIKOKINESISU,},
		0x12,23,0,
	},
	{
		MONSNO_KOOTASU,
		25,0x09,
		{WAZANO_KAENHOUSYA,WAZANO_DOWASURE,WAZANO_AIANTEERU,WAZANO_NEMURU,},
		0x30,14,0,
	},
	{
		MONSNO_MARUMAIN,
		41,0x09,
		{WAZANO_IYANAOTO,WAZANO_DAIBAKUHATU,WAZANO_MIRAAKOOTO,WAZANO_MAMORU,},
		0x09,19,0,
	},
	{
		MONSNO_KINOGASSA,
		52,0x0b,
		{WAZANO_AIANTEERU,WAZANO_KIAIPANTI,WAZANO_KAGEBUNSIN,WAZANO_YADORIGINOTANE,},
		0x25,9,0,
	},
	{
		MONSNO_BETOBETON,
		28,0x05,
		{WAZANO_HEDOROBAKUDAN,WAZANO_10MANBORUTO,WAZANO_KAENHOUSYA,WAZANO_KIAIPANTI,},
		0x25,14,0,
	},
	{
		MONSNO_MATADOGASU,
		24,0x05,
		{WAZANO_DAIBAKUHATU,WAZANO_HEDOROBAKUDAN,WAZANO_SYADOOBOORU,WAZANO_KAENHOUSYA,},
		0x21,14,0,
	},
	{
		MONSNO_RAITYUU,
		34,0x4e,
		{WAZANO_10MANBORUTO,WAZANO_KAGEBUNSIN,WAZANO_KIAIPANTI,WAZANO_MEROMERO,},
		0x3f,13,0,
	},
	{
		MONSNO_DOKUKURAGE,
		22,0x09,
		{WAZANO_KAGEBUNSIN,WAZANO_DOKUDOKU,WAZANO_NAMINORI,WAZANO_HEDOROBAKUDAN,},
		0x21,5,0,
	},
	{
		MONSNO_BAKUONGU,
		16,0x05,
		{WAZANO_HUBUKI,WAZANO_KAENHOUSYA,WAZANO_ZISIN,WAZANO_ONGAESI,},
		0x13,18,0,
	},
	{
		MONSNO_NEITHIO,
		19,0x43,
		{WAZANO_SAIKOKINESISU,WAZANO_NEMURU,WAZANO_AYASIIHIKARI,WAZANO_DOKUDOKU,},
		0x18,2,0,
	},
	{
		MONSNO_GOROONYA,
		48,0x05,
		{WAZANO_DAIBAKUHATU,WAZANO_ZISIN,WAZANO_GANSEKIHUUZI,WAZANO_KAENHOUSYA,},
		0x23,8,0,
	},
	{
		MONSNO_GORUDAKKU,
		39,0x83,
		{WAZANO_NAMINORI,WAZANO_MEROMERO,WAZANO_MEISOU,WAZANO_HUBUKI,},
		0x3d,11,0,
	},
	{
		MONSNO_KYUUKON,
		38,0x4a,
		{WAZANO_KAENHOUSYA,WAZANO_MEROMERO,WAZANO_DOKUDOKU,WAZANO_AYASIIHIKARI,},
		0x24,17,0,
	},
	{
		MONSNO_KINGUDORA,
		4,0x13,
		{WAZANO_KAGEBUNSIN,WAZANO_NEMURU,WAZANO_NAMINORI,WAZANO_RYUUNOIBUKI,},
		0x24,3,0,
	},
	{
		MONSNO_KEKKINGU,
		25,0x03,
		{WAZANO_NOROI,WAZANO_DOWASURE,WAZANO_AKUBI,WAZANO_KIAIPANTI,},
		0x24,9,0,
	},
	{
		MONSNO_GYARADOSU,
		12,0x03,
		{WAZANO_KAMINARI,WAZANO_ZISIN,WAZANO_HAIDOROPONPU,WAZANO_AMAGOI,},
		0x30,4,0,
	},
	{
		MONSNO_HARITEYAMA,
		48,0x21,
		{WAZANO_HARADAIKO,WAZANO_KORAERU,WAZANO_ZISIN,WAZANO_KISIKAISEI,},
		0x28,22,0,
	},
	{
		MONSNO_ABUSORU,
		1,0xc3,
		{WAZANO_DAMASIUTI,WAZANO_SUTEMITAKKURU,WAZANO_SYADOOBOORU,WAZANO_KAENHOUSYA,},
		0x2c,7,0,
	},
	{
		MONSNO_TIRUTARISU,
		2,0x83,
		{WAZANO_RYUUNOMAI,WAZANO_OUMUGAESI,WAZANO_DORAGONKUROO,WAZANO_ZISIN,},
		0x18,19,0,
	},
	{
		MONSNO_KAIRIKII,
		14,0x11,
		{WAZANO_KUROSUTYOPPU,WAZANO_KIAIPANTI,WAZANO_GANSEKIHUUZI,WAZANO_ANKOORU,},
		0x28,22,0,
	},
	{
		MONSNO_HURAIGON,
		43,0x43,
		{WAZANO_KAMIKUDAKU,WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAENHOUSYA,},
		0x35,14,0,
	},
	{
		MONSNO_BASYAAMO,
		60,0x33,
		{WAZANO_KAUNTAA,WAZANO_IWANADARE,WAZANO_KIAIPANTI,WAZANO_KAENHOUSYA,},
		0x12,21,0,
	},
	{
		MONSNO_ONIGOORI,
		29,0x81,
		{WAZANO_HUBUKI,WAZANO_KAMIKUDAKU,WAZANO_KOGOERUKAZE,WAZANO_KAGEBUNSIN,},
		0x3f,13,0,
	},
	{
		MONSNO_HANTEERU,
		22,0xa1,
		{WAZANO_AMAGOI,WAZANO_HAIDOROPONPU,WAZANO_KAMIKUDAKU,WAZANO_HUBUKI,},
		0x21,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		62,0xd3,
		{WAZANO_NAMINORI,WAZANO_MEROMERO,WAZANO_ZIKOSAISEI,WAZANO_DOKUDOKU,},
		0x05,11,0,
	},
	{
		MONSNO_SAKURABISU,
		39,0x83,
		{WAZANO_SAIKOKINESISU,WAZANO_NAMINORI,WAZANO_HUBUKI,WAZANO_SYADOOBOORU,},
		0x21,3,0,
	},
	{
		MONSNO_ZYUKAIN,
		34,0x53,
		{WAZANO_RIIHUBUREEDO,WAZANO_GAMUSYARA,WAZANO_ZISIN,WAZANO_GANSEKIHUUZI,},
		0x28,18,0,
	},
	{
		MONSNO_RAGURAAZI,
		25,0x53,
		{WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_MADDOSYOTTO,WAZANO_HUBUKI,},
		0x21,14,0,
	},
	{
		MONSNO_BOSUGODORA,
		37,0x41,
		{WAZANO_SUTEMITAKKURU,WAZANO_KAENHOUSYA,WAZANO_AIANTEERU,WAZANO_HUBUKI,},
		0x21,5,0,
	},
	{
		MONSNO_YUREIDORU,
		32,0xe1,
		{WAZANO_TAKUWAERU,WAZANO_HAKIDASU,WAZANO_NOMIKOMU,WAZANO_KAGEBUNSIN,},
		0x21,9,0,
	},
	{
		MONSNO_AAMARUDO,
		24,0xc1,
		{WAZANO_ZISIN,WAZANO_HAKAIKOUSEN,WAZANO_KIRISAKU,WAZANO_TURUGINOMAI,},
		0x21,9,0,
	},
	{
		MONSNO_KINOGASSA,
		47,0x82,
		{WAZANO_KIAIPANTI,WAZANO_KAUNTAA,WAZANO_MAHHAPANTI,WAZANO_YOKODORI,},
		0x21,9,0,
	},
	{
		MONSNO_RUNPAPPA,
		60,0x83,
		{WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_MAMORU,WAZANO_DOKUDOKU,},
		0x05,11,0,
	},
	{
		MONSNO_DAATENGU,
		34,0x03,
		{WAZANO_ITYAMON,WAZANO_DAMASIUTI,WAZANO_SYADOOBOORU,WAZANO_DAIBAKUHATU,},
		0x25,14,0,
	},
	{
		MONSNO_TOROPIUSU,
		50,0xc3,
		{WAZANO_NIHONBARE,WAZANO_KOUGOUSEI,WAZANO_SOORAABIIMU,WAZANO_YADORIGINOTANE,},
		0x24,17,0,
	},
	{
		MONSNO_BUUPIGGU,
		10,0x23,
		{WAZANO_TORIKKU,WAZANO_SUKIRUSUWAPPU,WAZANO_SAIKOKINESISU,WAZANO_NEMURU,},
		0x11,0,0,
	},
	{
		MONSNO_KOOTASU,
		41,0x81,
		{WAZANO_TEPPEKI,WAZANO_DOKUDOKU,WAZANO_NEMURU,WAZANO_KAENHOUSYA,},
		0x21,14,0,
	},
	{
		MONSNO_RAIBORUTO,
		0,0x03,
		{WAZANO_10MANBORUTO,WAZANO_KAMIKUDAKU,WAZANO_HOERU,WAZANO_DOROBOU,},
		0x05,11,0,
	},
	{
		MONSNO_KAIROSU,
		33,0x61,
		{WAZANO_HASAMIGIROTIN,WAZANO_ZISIN,WAZANO_KAGEBUNSIN,WAZANO_GANSEKIHUUZI,},
		0x21,9,0,
	},
	{
		MONSNO_SUTAAMII,
		4,0x93,
		{WAZANO_HIKARINOKABE,WAZANO_10MANBORUTO,WAZANO_NAMINORI,WAZANO_NEMURU,},
		0x21,3,0,
	},
	{
		MONSNO_HERAKUROSU,
		48,0x51,
		{WAZANO_MEGAHOON,WAZANO_KISIKAISEI,WAZANO_ZISIN,WAZANO_KAUNTAA,},
		0x03,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		29,0x83,
		{WAZANO_HUBUKI,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_IWANADARE,},
		0x25,23,0,
	},
	{
		MONSNO_HUUDHIN,
		2,0x13,
		{WAZANO_SAIKOKINESISU,WAZANO_ZIKOSAISEI,WAZANO_ANKOORU,WAZANO_YOKODORI,},
		0x05,11,0,
	},
	{
		MONSNO_MIROKAROSU,
		50,0x93,
		{WAZANO_NAMINORI,WAZANO_HUBUKI,WAZANO_ZIKOSAISEI,WAZANO_KAGEBUNSIN,},
		0x09,17,0,
	},
	{
		MONSNO_REZIAISU,
		4,0x11,
		{WAZANO_NEMURU,WAZANO_NOROI,WAZANO_HUBUKI,WAZANO_ZISIN,},
		0x05,16,0,
	},
	{
		MONSNO_REZISUTIRU,
		41,0x11,
		{WAZANO_NEMURU,WAZANO_TEPPEKI,WAZANO_10MANBORUTO,WAZANO_ZISIN,},
		0x12,16,0,
	},
	{
		MONSNO_REZIROKKU,
		24,0x91,
		{WAZANO_GANSEKIHUUZI,WAZANO_ZISIN,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x09,22,0,
	},
	{
		MONSNO_SAMAYOORU,
		31,0x20,
		{WAZANO_SYADOOBOORU,WAZANO_ZISIN,WAZANO_HUBUKI,WAZANO_MITIDURE,},
		0x18,4,0,
	},
	{
		MONSNO_AZUMAOU,
		33,0xb2,
		{WAZANO_TUNODORIRU,WAZANO_KOUSOKUIDOU,WAZANO_NEGOTO,WAZANO_NEMURU,},
		0x25,2,0,
	},
	{
		MONSNO_BAKUUDA,
		32,0x00,
		{WAZANO_ZISIN,WAZANO_HUNKA,WAZANO_IWANADARE,WAZANO_KAENHOUSYA,},
		0x25,14,0,
	},
	{
		MONSNO_RANTAAN,
		48,0x82,
		{WAZANO_10MANBORUTO,WAZANO_NAMINORI,WAZANO_DENZIHA,WAZANO_HUBUKI,},
		0x19,2,0,
	},
	{
		MONSNO_MATADOGASU,
		48,0x20,
		{WAZANO_HEDOROBAKUDAN,WAZANO_10MANBORUTO,WAZANO_DAIMONZI,WAZANO_DAIBAKUHATU,},
		0x09,12,0,
	},
	{
		MONSNO_NAMAZUN,
		60,0x41,
		{WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_GANSEKIHUUZI,WAZANO_MEROMERO,},
		0x36,7,0,
	},
	{
		MONSNO_BOSUGODORA,
		52,0x11,
		{WAZANO_SUTEMITAKKURU,WAZANO_ZISIN,WAZANO_NAMINORI,WAZANO_DORAGONKUROO,},
		0x03,21,0,
	},
	{
		MONSNO_NOKUTASU,
		34,0x63,
		{WAZANO_BAKURETUPANTI,WAZANO_KAUNTAA,WAZANO_DAMASIUTI,WAZANO_GIGADOREIN,},
		0x12,7,0,
	},
	{
		MONSNO_SAMEHADAA,
		1,0x01,
		{WAZANO_KAMIKUDAKU,WAZANO_SUTEMITAKKURU,WAZANO_NAMINORI,WAZANO_IBARU,},
		0x0a,22,0,
	},
	{
		MONSNO_ABUSORU,
		48,0x82,
		{WAZANO_SUTEMITAKKURU,WAZANO_KARAGENKI,WAZANO_TURUGINOMAI,WAZANO_DENKOUSEKKA,},
		0x0d,0,0,
	},
	{
		MONSNO_HOERUOO,
		33,0x23,
		{WAZANO_HAIDOROPONPU,WAZANO_ZISIN,WAZANO_MEROMERO,WAZANO_ZIWARE,},
		0x09,10,0,
	},
	{
		MONSNO_DOKUKURAGE,
		2,0x21,
		{WAZANO_HAIDOROPONPU,WAZANO_HEDOROBAKUDAN,WAZANO_GIGADOREIN,WAZANO_MIRAAKOOTO,},
		0x09,19,0,
	},
	{
		MONSNO_RUNPAPPA,
		25,0xa2,
		{WAZANO_AMAGOI,WAZANO_NAMINORI,WAZANO_DOKUDOKU,WAZANO_KAGEBUNSIN,},
		0x21,0,0,
	},
	{
		MONSNO_SOONANSU,
		25,0x23,
		{WAZANO_ANKOORU,WAZANO_KAUNTAA,WAZANO_MIRAAKOOTO,WAZANO_MITIDURE,},
		0x09,12,0,
	},
	{
		MONSNO_SAIDON,
		24,0x21,
		{WAZANO_ZISIN,WAZANO_MEGAHOON,WAZANO_TUNODORIRU,WAZANO_IWANADARE,},
		0x03,21,0,
	},
	{
		MONSNO_ONIGOORI,
		48,0x21,
		{WAZANO_KAMIKUDAKU,WAZANO_HUBUKI,WAZANO_ARARE,WAZANO_ZISIN,},
		0x09,12,0,
	},
	{
		MONSNO_ZYUKAIN,
		34,0x13,
		{WAZANO_RIIHUBUREEDO,WAZANO_ZISIN,WAZANO_DORAGONKUROO,WAZANO_KAMIKUDAKU,},
		0x28,2,0,
	},
	{
		MONSNO_BASYAAMO,
		52,0x17,
		{WAZANO_BUREIZUKIKKU,WAZANO_GANSEKIHUUZI,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x09,19,0,
	},
	{
		MONSNO_RAGURAAZI,
		47,0x17,
		{WAZANO_NAMINORI,WAZANO_ZISIN,WAZANO_MADDOSYOTTO,WAZANO_HUBUKI,},
		0x0a,12,0,
	},
	{
		MONSNO_SAANAITO,
		48,0x19,
		{WAZANO_SAIKOKINESISU,WAZANO_10MANBORUTO,WAZANO_MITIDURE,WAZANO_ONIBI,},
		0x18,2,0,
	},
	{
		MONSNO_KINOGASSA,
		48,0xf6,
		{WAZANO_KINOKONOHOUSI,WAZANO_KIAIPANTI,WAZANO_KAWARAWARI,WAZANO_HEDOROBAKUDAN,},
		0x0a,22,0,
	},
	{
		MONSNO_HUUDHIN,
		62,0x1b,
		{WAZANO_SAIKOKINESISU,WAZANO_KAMINARIPANTI,WAZANO_RIHUREKUTAA,WAZANO_ZIKOSAISEI,},
		0x09,11,0,
	},
	{
		MONSNO_DAATENGU,
		4,0x89,
		{WAZANO_DAMASIUTI,WAZANO_SYADOOBOORU,WAZANO_KAGEBUNSIN,WAZANO_NEMURU,},
		0x0a,12,0,
	},
	{
		MONSNO_HARITEYAMA,
		34,0x85,
		{WAZANO_KUROSUTYOPPU,WAZANO_ZISIN,WAZANO_KARAGENKI,WAZANO_NEKODAMASI,},
		0x03,21,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x49,
		{WAZANO_MEROMERO,WAZANO_AYASIIHIKARI,WAZANO_KAMITUKU,WAZANO_KAGEBUNSIN,},
		0x0a,22,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x15,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAENHOUSYA,WAZANO_ZISIN,WAZANO_IWANADARE,},
		0x09,0,0,
	},
	{
		MONSNO_RAIBORUTO,
		60,0x0b,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_HOERU,WAZANO_KAMIKUDAKU,},
		0x18,2,0,
	},
	{
		MONSNO_MARUMAIN,
		41,0x27,
		{WAZANO_10MANBORUTO,WAZANO_MAMORU,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x05,18,0,
	},
	{
		MONSNO_BETOBETON,
		24,0x05,
		{WAZANO_HEDOROBAKUDAN,WAZANO_KAENHOUSYA,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x03,21,0,
	},
	{
		MONSNO_HURAIGON,
		60,0x4d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAENHOUSYA,WAZANO_KAMIKUDAKU,},
		0x18,12,0,
	},
	{
		MONSNO_SUTAAMII,
		50,0x1b,
		{WAZANO_NAMINORI,WAZANO_10MANBORUTO,WAZANO_ZIKOSAISEI,WAZANO_AYASIIHIKARI,},
		0x18,2,0,
	},
	{
		MONSNO_DOODORIO,
		52,0x2b,
		{WAZANO_DORIRUKUTIBASI,WAZANO_TORAIATAKKU,WAZANO_KOUSOKUIDOU,WAZANO_KARAGENKI,},
		0x0a,0,0,
	},
	{
		MONSNO_RAITYUU,
		6,0x0a,
		{WAZANO_10MANBORUTO,WAZANO_DENZIHA,WAZANO_KISIKAISEI,WAZANO_MEROMERO,},
		0x18,12,0,
	},
	{
		MONSNO_GORUDAKKU,
		52,0x0a,
		{WAZANO_NAMINORI,WAZANO_KUROSUTYOPPU,WAZANO_REITOUBIIMU,WAZANO_HAKAIKOUSEN,},
		0x0a,12,0,
	},
	{
		MONSNO_HERAKUROSU,
		52,0x54,
		{WAZANO_MEGAHOON,WAZANO_GANSEKIHUUZI,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x0a,22,0,
	},
	{
		MONSNO_TODOZERUGA,
		4,0x06,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZISIN,WAZANO_NEMURU,},
		0x21,14,0,
	},
	{
		MONSNO_KINGUDORA,
		4,0x1d,
		{WAZANO_NAMINORI,WAZANO_DOKUDOKU,WAZANO_MAMORU,WAZANO_NEMURU,},
		0x21,3,0,
	},
	{
		MONSNO_BOOMANDA,
		41,0x9c,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAMIKUDAKU,WAZANO_NEMURU,},
		0x21,3,0,
	},
	{
		MONSNO_METAGUROSU,
		47,0x15,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_HIKARINOKABE,},
		0x23,0,0,
	},
	{
		MONSNO_REZIROKKU,
		32,0xb5,
		{WAZANO_ZISIN,WAZANO_GENSINOTIKARA,WAZANO_KIAIPANTI,WAZANO_DAIBAKUHATU,},
		0x22,21,0,
	},
	{
		MONSNO_REZIAISU,
		4,0x96,
		{WAZANO_REITOUBIIMU,WAZANO_10MANBORUTO,WAZANO_KAGEBUNSIN,WAZANO_NEMURU,},
		0x05,11,0,
	},
	{
		MONSNO_REZISUTIRU,
		24,0x94,
		{WAZANO_METARUKUROO,WAZANO_ZISIN,WAZANO_10MANBORUTO,WAZANO_DAIBAKUHATU,},
		0x22,21,0,
	},
	{
		MONSNO_RATHIASU,
		41,0x96,
		{WAZANO_MISUTOBOORU,WAZANO_10MANBORUTO,WAZANO_NEMURU,WAZANO_DORAGONKUROO,},
		0x05,16,0,
	},
	{
		MONSNO_RATHIOSU,
		50,0x95,
		{WAZANO_RASUTAAPAAZI,WAZANO_RIHUREKUTAA,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x18,2,0,
	},
	{
		MONSNO_MIROKAROSU,
		25,0x96,
		{WAZANO_NAMINORI,WAZANO_DOKUDOKU,WAZANO_ZIKOSAISEI,WAZANO_MIRAAKOOTO,},
		0x2c,2,0,
	},
	{
		MONSNO_KEKKINGU,
		16,0x05,
		{WAZANO_HAKAIKOUSEN,WAZANO_ZISIN,0,0,},
		0x0a,12,0,
	},
	{
		MONSNO_ZYUKAIN,
		25,0x1f,
		{WAZANO_GIGADOREIN,WAZANO_KAGEBUNSIN,WAZANO_YADORIGINOTANE,WAZANO_MEROMERO,},
		0x11,17,0,
	},
	{
		MONSNO_BASYAAMO,
		4,0x17,
		{WAZANO_BUREIZUKIKKU,WAZANO_ZISIN,WAZANO_IWANADARE,WAZANO_NEMURU,},
		0x18,2,0,
	},
	{
		MONSNO_RAGURAAZI,
		47,0x17,
		{WAZANO_DAKURYUU,WAZANO_MADDOSYOTTO,WAZANO_MIRAAKOOTO,WAZANO_REITOUBIIMU,},
		0x11,0,0,
	},
	{
		MONSNO_SAANAITO,
		48,0x7b,
		{WAZANO_SAIKOKINESISU,WAZANO_SYADOOBOORU,WAZANO_MITIDURE,WAZANO_YOKODORI,},
		0x1c,7,0,
	},
	{
		MONSNO_KINOGASSA,
		48,0x56,
		{WAZANO_KINOKONOHOUSI,WAZANO_KAUNTAA,WAZANO_AIANTEERU,WAZANO_GIGADOREIN,},
		0x0a,22,0,
	},
	{
		MONSNO_HUUDHIN,
		32,0x0a,
		{WAZANO_SAIKOKINESISU,WAZANO_KAMINARIPANTI,WAZANO_HONOONOPANTI,WAZANO_ZIKOSAISEI,},
		0x05,11,0,
	},
	{
		MONSNO_HARITEYAMA,
		6,0x05,
		{WAZANO_KUROSUTYOPPU,WAZANO_GANSEKIHUUZI,WAZANO_KORAERU,WAZANO_KISIKAISEI,},
		0x25,22,0,
	},
	{
		MONSNO_GYARADOSU,
		47,0x0c,
		{WAZANO_HAKAIKOUSEN,WAZANO_10MANBORUTO,WAZANO_ZISIN,WAZANO_REITOUBIIMU,},
		0x22,5,0,
	},
	{
		MONSNO_KUROBATTO,
		32,0x49,
		{WAZANO_DOKUDOKU,WAZANO_AYASIIHIKARI,WAZANO_MEROMERO,WAZANO_MAMORU,},
		0x28,0,0,
	},
	{
		MONSNO_KAIRIKII,
		34,0x15,
		{WAZANO_KUROSUTYOPPU,WAZANO_KAUNTAA,WAZANO_ZISIN,WAZANO_KARAGENKI,},
		0x09,12,0,
	},
	{
		MONSNO_RAIBORUTO,
		4,0x63,
		{WAZANO_KAMINARI,WAZANO_DENZIHA,WAZANO_NEMURU,WAZANO_KAMIKUDAKU,},
		0x09,2,0,
	},
	{
		MONSNO_MARUMAIN,
		48,0x07,
		{WAZANO_10MANBORUTO,WAZANO_IYANAOTO,WAZANO_MIRAAKOOTO,WAZANO_DAIBAKUHATU,},
		0x05,15,0,
	},
	{
		MONSNO_BETOBETON,
		52,0x45,
		{WAZANO_HEDOROBAKUDAN,WAZANO_GIGADOREIN,WAZANO_GANSEKIHUUZI,WAZANO_DAIBAKUHATU,},
		0x09,19,0,
	},
	{
		MONSNO_HURAIGON,
		41,0x4d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_AIANTEERU,WAZANO_GANSEKIHUUZI,},
		0x22,8,0,
	},
	{
		MONSNO_SUTAAMII,
		4,0x1b,
		{WAZANO_HIKARINOKABE,WAZANO_10MANBORUTO,WAZANO_NAMINORI,WAZANO_NEMURU,},
		0x18,17,0,
	},
	{
		MONSNO_KYUUKON,
		2,0x0a,
		{WAZANO_AYASIIHIKARI,WAZANO_OOBAAHIITO,WAZANO_KAENHOUSYA,WAZANO_AIANTEERU,},
		0x18,17,0,
	},
	{
		MONSNO_GOROONYA,
		48,0x25,
		{WAZANO_ZISIN,WAZANO_HOERU,WAZANO_DAIMONZI,WAZANO_DAIBAKUHATU,},
		0x28,12,0,
	},
	{
		MONSNO_GORUDAKKU,
		60,0x27,
		{WAZANO_HAIDOROPONPU,WAZANO_KUROSUTYOPPU,WAZANO_HUBUKI,WAZANO_ZIKOANZI,},
		0x12,0,0,
	},
	{
		MONSNO_HERAKUROSU,
		48,0x55,
		{WAZANO_MEGAHOON,WAZANO_ZISIN,WAZANO_KAUNTAA,WAZANO_KISIKAISEI,},
		0x0a,0,0,
	},
	{
		MONSNO_TODOZERUGA,
		48,0x36,
		{WAZANO_NAMINORI,WAZANO_HUBUKI,WAZANO_IWANADARE,WAZANO_ZETTAIREIDO,},
		0x09,12,0,
	},
	{
		MONSNO_KINGUDORA,
		25,0x5c,
		{WAZANO_HAIDOROPONPU,WAZANO_MAMORU,WAZANO_RYUUNOIBUKI,WAZANO_KAGEBUNSIN,},
		0x21,3,0,
	},
	{
		MONSNO_BOOMANDA,
		1,0x9d,
		{WAZANO_DORAGONKUROO,WAZANO_ZISIN,WAZANO_KAENHOUSYA,WAZANO_GANSEKIHUUZI,},
		0x18,12,0,
	},
	{
		MONSNO_METAGUROSU,
		24,0x15,
		{WAZANO_KOMETTOPANTI,WAZANO_SAIKOKINESISU,WAZANO_ZISIN,WAZANO_HAKAIKOUSEN,},
		0x32,0,0,
	},
	{
		MONSNO_REZIROKKU,
		24,0x95,
		{WAZANO_ZISIN,WAZANO_GANSEKIHUUZI,WAZANO_KARAGENKI,WAZANO_DAIBAKUHATU,},
		0x22,21,0,
	},
	{
		MONSNO_REZIAISU,
		47,0x96,
		{WAZANO_HUBUKI,WAZANO_10MANBORUTO,WAZANO_ARARE,WAZANO_DAIBAKUHATU,},
		0x14,23,0,
	},
	{
		MONSNO_REZISUTIRU,
		24,0x94,
		{WAZANO_METARUKUROO,WAZANO_ZISIN,WAZANO_GENSINOTIKARA,WAZANO_DAIBAKUHATU,},
		0x22,21,0,
	},
	{
		MONSNO_RATHIASU,
		50,0x96,
		{WAZANO_MISUTOBOORU,WAZANO_RIHUREKUTAA,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x09,2,0,
	},
	{
		MONSNO_RATHIOSU,
		47,0x95,
		{WAZANO_RASUTAAPAAZI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_DORAGONKUROO,},
		0x18,17,0,
	},
	{
		MONSNO_MIROKAROSU,
		50,0xd6,
		{WAZANO_NAMINORI,WAZANO_REITOUBIIMU,WAZANO_ZIKOSAISEI,WAZANO_KAGEBUNSIN,},
		0x25,3,0,
	},
	{
		MONSNO_KAKUREON,
		16,0x69,
		{WAZANO_TORIKKU,WAZANO_NEMURU,WAZANO_AIANTEERU,WAZANO_KANASIBARI,},
		0x05,24,0,
	},
	{
		MONSNO_ZYUKAIN,
		4,0x5f,
		{WAZANO_RIIHUBUREEDO,WAZANO_ZISIN,WAZANO_NEMURU,WAZANO_KAMIKUDAKU,},
		0x2c,2,0,
	},
	{
		MONSNO_BASYAAMO,
		41,0x7f,
		{WAZANO_KIAIPANTI,WAZANO_KAUNTAA,WAZANO_IBARU,WAZANO_GANSEKIHUUZI,},
		0x09,22,0,
	},
	{
		MONSNO_RAGURAAZI,
		41,0x57,
		{WAZANO_AIANTEERU,WAZANO_NOROI,WAZANO_KAGEBUNSIN,WAZANO_NEMURU,},
		0x21,9,0,
	},
	{
		MONSNO_SAANAITO,
		4,0x3b,
		{WAZANO_SYADOOBOORU,WAZANO_SAIKOKINESISU,WAZANO_NEMURU,WAZANO_HUUIN,},
		0x09,2,0,
	},
	{
		MONSNO_KINOGASSA,
		48,0x56,
		{WAZANO_KINOKONOHOUSI,WAZANO_KIAIPANTI,WAZANO_HEDOROBAKUDAN,WAZANO_AIANTEERU,},
		0x0a,22,0,
	},
	{
		MONSNO_HUUDHIN,
		16,0x1a,
		{WAZANO_SAIKOKINESISU,WAZANO_TORIKKU,WAZANO_ZIKOSAISEI,WAZANO_YOKODORI,},
		0x05,11,0,
	},
	{
		MONSNO_HARITEYAMA,
		48,0x65,
		{WAZANO_RIBENZI,WAZANO_KAUNTAA,WAZANO_KIAIPANTI,WAZANO_KISIKAISEI,},
		0x09,22,0,
	},
	{
		MONSNO_RUNPAPPA,
		25,0x54,
